Year,Month,Day,Hour,Minute,Temperature  [2 m above gnd]
2018,6,22,0,0,28.9
2018,6,22,1,0,28.73
2018,6,22,2,0,28.57
2018,6,22,3,0,28.42
2018,6,22,4,0,28.36
2018,6,22,5,0,28.2
2018,6,22,6,0,28.25
2018,6,22,7,0,28.49
2018,6,22,8,0,28.69
2018,6,22,9,0,28.87
2018,6,22,10,0,28.85
2018,6,22,11,0,28.95
2018,6,22,12,0,29.05
2018,6,22,13,0,29.19
2018,6,22,14,0,29.22
2018,6,22,15,0,29.37
2018,6,22,16,0,29.3
2018,6,22,17,0,29.61
2018,6,22,18,0,29.05
2018,6,22,19,0,28.63
2018,6,22,20,0,28.33
2018,6,22,21,0,28.15
2018,6,22,22,0,28
2018,6,22,23,0,27.85
2018,6,23,0,0,27.71
2018,6,23,1,0,27.81
2018,6,23,2,0,27.82
2018,6,23,3,0,27.87
2018,6,23,4,0,27.9
2018,6,23,5,0,27.94
2018,6,23,6,0,28.03
2018,6,23,7,0,28.3
2018,6,23,8,0,29.13
2018,6,23,9,0,29.43
2018,6,23,10,0,28.67
2018,6,23,11,0,28.75
2018,6,23,12,0,29.01
2018,6,23,13,0,29.14
2018,6,23,14,0,29.21
2018,6,23,15,0,29.25
2018,6,23,16,0,29.17
2018,6,23,17,0,27.62
2018,6,23,18,0,27.69
2018,6,23,19,0,27.61
2018,6,23,20,0,27.51
2018,6,23,21,0,27.41
2018,6,23,22,0,27.37
2018,6,23,23,0,27.36
2018,6,24,0,0,27.31
2018,6,24,1,0,27.36
2018,6,24,2,0,27.3
2018,6,24,3,0,27.2
2018,6,24,4,0,27.23
2018,6,24,5,0,27.29
2018,6,24,6,0,27.34
2018,6,24,7,0,27.14
2018,6,24,8,0,27.05
2018,6,24,9,0,27.07
2018,6,24,10,0,27.04
2018,6,24,11,0,27.23
2018,6,24,12,0,27.63
2018,6,24,13,0,27.74
2018,6,24,14,0,27.74
2018,6,24,15,0,27.86
2018,6,24,16,0,27.78
2018,6,24,17,0,27.09
2018,6,24,18,0,26.61
2018,6,24,19,0,26.59
2018,6,24,20,0,26.55
2018,6,24,21,0,26.36
2018,6,24,22,0,26.45
2018,6,24,23,0,26.49
2018,6,25,0,0,26.53
2018,6,25,1,0,26.5
2018,6,25,2,0,26.43
2018,6,25,3,0,26.48
2018,6,25,4,0,26.55
2018,6,25,5,0,26.54
2018,6,25,6,0,26.6
2018,6,25,7,0,26.9
2018,6,25,8,0,27.08
2018,6,25,9,0,27.49
2018,6,25,10,0,27.71
2018,6,25,11,0,27.75
2018,6,25,12,0,27.71
2018,6,25,13,0,27.52
2018,6,25,14,0,27.14
2018,6,25,15,0,26.64
2018,6,25,16,0,26.36
2018,6,25,17,0,26.15
2018,6,25,18,0,26.13
2018,6,25,19,0,26.14
2018,6,25,20,0,25.83
2018,6,25,21,0,25.6
2018,6,25,22,0,25.68
2018,6,25,23,0,26.1
2018,6,26,0,0,26.63
2018,6,26,1,0,26.3
2018,6,26,2,0,26.08
2018,6,26,3,0,25.76
2018,6,26,4,0,25.69
2018,6,26,5,0,25.64
2018,6,26,6,0,25.78
2018,6,26,7,0,26.18
2018,6,26,8,0,26.83
2018,6,26,9,0,27.38
2018,6,26,10,0,27.72
2018,6,26,11,0,27.88
2018,6,26,12,0,28.11
2018,6,26,13,0,28.35
2018,6,26,14,0,28.08
2018,6,26,15,0,27.76
2018,6,26,16,0,27.99
2018,6,26,17,0,27.77
2018,6,26,18,0,27.81
2018,6,26,19,0,27.47
2018,6,26,20,0,27.43
2018,6,26,21,0,27.42
2018,6,26,22,0,27.37
2018,6,26,23,0,27.27
2018,6,27,0,0,27.17
2018,6,27,1,0,27.03
2018,6,27,2,0,26.81
2018,6,27,3,0,26.77
2018,6,27,4,0,26.77
2018,6,27,5,0,26.69
2018,6,27,6,0,26.72
2018,6,27,7,0,26.84
2018,6,27,8,0,26.96
2018,6,27,9,0,27.2
2018,6,27,10,0,27.35
2018,6,27,11,0,27.34
2018,6,27,12,0,27.67
2018,6,27,13,0,27.82
2018,6,27,14,0,27.91
2018,6,27,15,0,27.98
2018,6,27,16,0,27.81
2018,6,27,17,0,28.07
2018,6,27,18,0,27.52
2018,6,27,19,0,27.18
2018,6,27,20,0,27.01
2018,6,27,21,0,26.86
2018,6,27,22,0,26.9
2018,6,27,23,0,26.79
2018,6,28,0,0,26.59
2018,6,28,1,0,26.43
2018,6,28,2,0,26.28
2018,6,28,3,0,26.13
2018,6,28,4,0,25.89
2018,6,28,5,0,25.69
2018,6,28,6,0,25.51
2018,6,28,7,0,25.49
2018,6,28,8,0,25.52
2018,6,28,9,0,25.44
2018,6,28,10,0,25.47
2018,6,28,11,0,25.52
2018,6,28,12,0,25.53
2018,6,28,13,0,25.53
2018,6,28,14,0,25.62
2018,6,28,15,0,26.04
2018,6,28,16,0,26.25
2018,6,28,17,0,27.8
2018,6,28,18,0,27.48
2018,6,28,19,0,27.03
2018,6,28,20,0,26.8
2018,6,28,21,0,26.74
2018,6,28,22,0,26.88
2018,6,28,23,0,26.94
2018,6,29,0,0,26.86
2018,6,29,1,0,26.89
2018,6,29,2,0,26.83
2018,6,29,3,0,26.79
2018,6,29,4,0,26.78
2018,6,29,5,0,26.79
2018,6,29,6,0,26.71
2018,6,29,7,0,26.48
2018,6,29,8,0,25.71
2018,6,29,9,0,25.78
2018,6,29,10,0,25.63
2018,6,29,11,0,25.63
2018,6,29,12,0,25.63
2018,6,29,13,0,25.71
2018,6,29,14,0,25.79
2018,6,29,15,0,25.97
2018,6,29,16,0,26.3
2018,6,29,17,0,28.59
2018,6,29,18,0,28.14
2018,6,29,19,0,27.65
2018,6,29,20,0,27.47
2018,6,29,21,0,27.37
2018,6,29,22,0,27.29
2018,6,29,23,0,27.23
2018,6,30,0,0,27.17
2018,6,30,1,0,27.27
2018,6,30,2,0,27.18
2018,6,30,3,0,27.12
2018,6,30,4,0,27.06
2018,6,30,5,0,26.81
2018,6,30,6,0,26.87
2018,6,30,7,0,27.52
2018,6,30,8,0,27.56
2018,6,30,9,0,27.81
2018,6,30,10,0,28.81
2018,6,30,11,0,29.49
2018,6,30,12,0,29.8
2018,6,30,13,0,29.19
2018,6,30,14,0,29.62
2018,6,30,15,0,29.49
2018,6,30,16,0,29.25
2018,6,30,17,0,27.78
2018,6,30,18,0,27.63
2018,6,30,19,0,27.27
2018,6,30,20,0,27.2
2018,6,30,21,0,27.11
2018,6,30,22,0,27.04
2018,6,30,23,0,27.02
2018,7,1,0,0,26.94
2018,7,1,1,0,26.84
2018,7,1,2,0,26.69
2018,7,1,3,0,26.52
2018,7,1,4,0,26.42
2018,7,1,5,0,26.37
2018,7,1,6,0,26.34
2018,7,1,7,0,26.7
2018,7,1,8,0,27.71
2018,7,1,9,0,28.59
2018,7,1,10,0,29.11
2018,7,1,11,0,28.29
2018,7,1,12,0,29.21
2018,7,1,13,0,28.28
2018,7,1,14,0,28.16
2018,7,1,15,0,28.91
2018,7,1,16,0,27.98
2018,7,1,17,0,28.57
2018,7,1,18,0,28.07
2018,7,1,19,0,27.54
2018,7,1,20,0,27.38
2018,7,1,21,0,27.05
2018,7,1,22,0,27
2018,7,1,23,0,27.1
2018,7,2,0,0,27.13
2018,7,2,1,0,27.07
2018,7,2,2,0,26.92
2018,7,2,3,0,26.82
2018,7,2,4,0,26.56
2018,7,2,5,0,26.5
2018,7,2,6,0,26.54
2018,7,2,7,0,26.77
2018,7,2,8,0,27.03
2018,7,2,9,0,27.02
2018,7,2,10,0,27.09
2018,7,2,11,0,26.67
2018,7,2,12,0,26.51
2018,7,2,13,0,26.48
2018,7,2,14,0,26.39
2018,7,2,15,0,26.5
2018,7,2,16,0,26.46
2018,7,2,17,0,27.68
2018,7,2,18,0,27.15
2018,7,2,19,0,26.62
2018,7,2,20,0,26.37
2018,7,2,21,0,26.33
2018,7,2,22,0,26.34
2018,7,2,23,0,26.31
2018,7,3,0,0,26.28
